Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
pause(),paused,False
unpause(),paused,False
"createPhoenix(uint256,uint256,uint)","BASE_PRICE, phoenixes",False
"createMultiplePhoenixes(,,)",,False
getPhoenix(uint256),phoenixes,False
purchasePhoenix(uint256),"phoenixes, devFunds, owner, devFunds, owner, devFunds, subDev, devFunds, subDev, userFunds, userFunds, PHOENIX_POOL, PHOENIX_POOL",True
explodePhoenix(uint256),"phoenixes, PHOENIX_POOL, PHOENIX_POOL, EXPLOSION_DENOMINATOR, PHOENIX_POOL, PHOENIX_POOL, PRICE_CUTOFF, HIGHER_PRICE_RESET_PERCENTAGE, LOWER_PRICE_RESET_PERCENTAGE, BASE_PRICE, BASE_PRICE",True
devWithdraw(),"devFunds, devFunds",True
withdrawFunds(),"userFunds, userFunds",True
