Function Name,State Variables Modified,Can Transfer Ether
name(),,False
symbol(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
AppCoins(),"owner, token_name, token_symbol, totalSupply, decimals, balances, owner, totalSupply",True
name(),token_name,False
symbol(),token_symbol,False
balanceOf(address),balances,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
"transferFrom(address,address,uint256)","allowance, allowance, allowance",True
"approve(address,uint256)",allowance,True
burn(uint256),"balances, balances, totalSupply",True
"burnFrom(address,uint256)","balances, allowance, balances, allowance, totalSupply",True
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
"checkRole(address,string)",roles,False
"hasRole(address,string)",roles,False
addAddressToWhitelist(address),ROLE_WHITELISTED,False
whitelist(address),ROLE_WHITELISTED,False
addAddressesToWhitelist(),,False
removeAddressFromWhitelist(address),ROLE_WHITELISTED,False
removeAddressesFromWhitelist(),,False
constructor(address),appc,False
getBalance(),balance,False
getBalanceProof(),balanceProof,False
"depositFunds(uint,bytes)","appc, appc, balance, balance",True
"withdrawFunds(uint,bytes)","balance, appc, balance, balance",True
