Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
Ownable(),owner,True
transferOwnership(address),owner,False
emergencyStop(),stopped,False
release(),stopped,False
EXH(),"locked, totalSupply, name, symbol, decimals",False
"transfer(address,uint)",,True
"transferFrom(address,address,uint)",,True
balanceOf(address),,False
"approve(address,uint)",,True
"allowance(address,address)",,False
Crowdsale(),"startBlock, endBlock, maxCap, maxCapPreSale, maxCapMintTransfer, PRICE, crowdsaleStatus, crowdSaleType, durationPreSale, durationCrowdSale, countTotalInvestors, countInvestorsRefunded, refundStatus, countTotalInvestorsInCrowdsale, countInvestorsRefundedInCrowdsale",False
start(),"startBlock, startBlock, endBlock, durationCrowdSale, durationPreSale, crowdsaleStatus",False
startSale(),"startBlock, durationPreSale, endBlock, crowdsaleStatus, crowdSaleType, crowdSaleType, totalSupplyCrowdsale, totalSupplyPreSale",False
updateDuration(uint),"startBlock, crowdSaleType, crowdsaleStatus, durationCrowdSale, durationCrowdSale, endBlock, endBlock",False
setPrice(uint),PRICE,False
unlock(),locked,False
function()publicpayable{createTokens(msg.sender);}(),,True
"MintAndTransferToken(address,uint,bytes32)","startBlock, totalSupplyMintTransfer, maxCapMintTransfer, totalSupplyMintTransfer, maxCapMintTransfer, totalSupply, totalSupply, totalSupplyMintTransfer, totalSupplyMintTransfer",False
getPrice(),"crowdSaleType, PRICE, crowdSaleType, startBlock, durationPreSale, PRICE, PRICE, PRICE, PRICE, PRICE",False
finalize(),"crowdsaleStatus, crowdSaleType, totalSupplyCrowdsale, maxCap, endBlock, maxCap, totalSupplyCrowdsale, totalSupply, refundStatus, refundStatus, crowdsaleStatus",False
refund(),"refundStatus, countInvestorsRefunded, countTotalInvestors, countInvestorsRefunded, countTotalInvestors, countInvestorsRefunded, investorList, investors, ETHReceived, ETHReceived, totalSupply, totalSupply, countInvestorsRefundedInCrowdsale, countInvestorsRefundedInCrowdsale, countInvestorsRefunded",True
drain(),,True
