Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
pause(),paused,False
unpause(),paused,False
Destructible(),,False
destroy(),owner,False
destroyAndSend(address),,False
"query(uint,string,string)",,False
"query_withGasLimit(uint,string,string,uint)",,False
"query2(uint,string,string,string)",,False
"query2_withGasLimit(uint,string,string,string,uint)",,False
"queryN(uint,string,bytes)",,False
"queryN_withGasLimit(uint,string,bytes,uint)",,False
getPrice(string),,False
"getPrice(string,uint)",,False
setProofType(byte),,False
setCustomGasPrice(uint),,False
randomDS_getSessionPubKeyHash(),,False
getAddress(),,False
"__callback(bytes32,string)",,True
"__callback(bytes32,string,bytes)",,False
CryptoTreasure(),,False
getVariables(),"current, paused, current, current, current, current",True
hasAlreadyPlayed(address),current,False
participate(uint8),"current, current, current, current, current, current, current, current, current, current",True
"__callback(bytes32,string)",,True
withdraw(),,True
getGameBalance(),current,False
getGameBonusAdded(),current,False
calculateTotalGamePrize(),"current, current, current",False
getNumberOfPlayersInCurrentGame(),current,False
getPrice(),current,False
getBalance(),,False
isGameActive(),current,False
getPlayerInfo(),,True
endCurrentGame(),,False
withdrawCommission(),owner,True
withdrawBonus(uint),,False
depositBonus(),,False
withdrawBalanceAmount(uint),owner,True
withdrawAll(),owner,True
getAdminVariables(),"current, current",False
"setAdminVariables(uint,uint,uint,uint,uint)",,False
kill(),owner,False
